prior,eta,sensors_placed,convergence_iters,total_updates,F1,F2,inference_time_s
Prior_A_Uniform,1,JI12,2,2,0.6667,0.6667,0.01
Prior_A_Uniform,2,"JI12, JI4","2, 2",4,0.0833,0.6667,0.02
Prior_A_Uniform,3,"JI12, JI4, J11","2, 2, 1",5,0.4167,1.0,0.02
Prior_B_Topo,1,JI12,2,2,0.5535,0.5535,0.01
Prior_B_Topo,2,"JI12, J11","2, 1",3,1.0,1.0,0.01
Prior_B_Topo,3,"JI12, JI13, J11","2, 2, 1",5,0.4905,1.0,0.02
Prior_C_Flux,1,JI12,2,2,0.9518,0.9518,0.0
Prior_C_Flux,2,"JI12, JI13","2, 2",4,0.0405,0.9518,0.01
Prior_C_Flux,3,"JI12, JI13, JI4","2, 2, 2",6,0.0,0.9518,0.02
Prior_D_ContamFlux,1,J11,2,2,0.8673,0.8673,0.01
Prior_D_ContamFlux,2,"J11, JI12","2, 1",3,1.0,1.0,0.01
Prior_D_ContamFlux,3,"J11, J10, JI12","2, 2, 2",6,0.3798,1.0,0.02
ML_LGBM,1,JI12,2,2,0.6309,0.6309,0.01
ML_LGBM,2,"JI12, JI13","2, 2",4,0.0189,0.6309,0.01
ML_LGBM,3,"JI12, J11, J10","2, 1, 2",5,0.7636,1.0,0.02
ML_MLP,1,JI12,2,2,0.5888,0.5888,0.0
ML_MLP,2,"JI12, J11","2, 1",3,1.0,1.0,0.01
ML_MLP,3,"JI12, J11, J10","2, 1, 2",5,0.7199,1.0,0.02
ML_XGB,1,JI12,2,2,0.5959,0.5959,0.01
ML_XGB,2,"JI12, J11","2, 2",4,1.0,1.0,0.06
ML_XGB,3,"JI12, JI13, JI4","2, 2, 3",7,0.0,0.5959,0.02
